rowType,sessionId,timestamp,challengeId,challengeType,skill,eventName,attemptNumber,feedbackType,scaffoldLevel,relatedField,split,firstTryCorrect,independentSuccess,finalSuccess,attemptCount,hintCount,highestScaffoldLevel,selfCorrected,selectedSplitStrategy,subfactAccuracy,completionTimeMs,selectedSplit,partial1Attempts,partial2Attempts,partial1Outcome,partial2Outcome,supportUsed,supportType,supportOpened,supportCompleted,attentionCueShown,cueType,splitCueShown,addOneCueShown,plusDotCueShown,payload
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:11.459Z","build-3-4","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":1,""groups"":[4,1,0],""remaining"":7}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:11.736Z","build-3-4","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":1,""groups"":[4,2,0],""remaining"":6}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:12.000Z","build-3-4","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":1,""groups"":[4,3,0],""remaining"":5}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:12.276Z","build-3-4","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":1,""groups"":[4,4,0],""remaining"":4}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:12.551Z","build-3-4","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":2,""groups"":[4,4,1],""remaining"":3}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:12.817Z","build-3-4","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":2,""groups"":[4,4,2],""remaining"":2}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:13.092Z","build-3-4","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":2,""groups"":[4,4,3],""remaining"":1}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:13.358Z","build-3-4","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":2,""groups"":[4,4,4],""remaining"":0}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:13.625Z","build-3-4","build","equalGroups","answer_submitted","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""groups"":[4,4,4],""remaining"":0,""correct"":true}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:13.625Z","build-3-4","build","equalGroups","feedback_shown","1","success","0","array","","","","","","","","","","","","","","","","","","","","","","","","","","{""type"":""success"",""feedbackType"":""success"",""attemptNumber"":1,""scaffoldLevel"":0,""relatedField"":""array"",""message"":""Every row is equal. All the dots are shared."",""timestamp"":""2026-09-21T17:12:13.625Z""}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:13.626Z","build-3-4","build","equalGroups","challenge_completed","1","","","","","","","","","","","","","","","","","","","","false","","","false","true","","false","false","true","{""attentionCueShown"":true,""splitCueShown"":false,""addOneCueShown"":false,""plusDotCueShown"":true,""strategySupportUsed"":false,""strategySupportType"":null,""supportUsed"":false,""supportType"":null,""supportCompleted"":false,""partial1Attempts"":0,""partial2Attempts"":0,""partial1Outcome"":null,""partial2Outcome"":null,""selectedSplit"":null,""challengeId"":""build-3-4"",""challengeType"":""build"",""skill"":""equalGroups"",""factors"":[3,4],""firstTryCorrect"":true,""independentSuccess"":false,""finalSuccess"":true,""attemptCount"":1,""hintCount"":1,""highestScaffoldLevel"":1,""selfCorrected"":false,""selectedSplitStrategy"":null,""subfactAccuracy"":null,""completionTimeMs"":4305730,""completedAt"":""2026-09-21T17:12:13.626Z"",""incorrectAttempts"":0,""policy"":""start-with-equal-groups""}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:13.900Z","build-5-3","build","equalGroups","adaptive_decision","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""policy"":""practice-same-skill"",""support"":true,""learnerState"":{""productRecall"":0,""equalGroups"":0.5,""arrayConstruction"":0.5,""decomposition"":0,""inverseRelationship"":0,""attempts"":1,""hintUsage"":1}}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:13.900Z","build-5-3","build","equalGroups","challenge_started","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""target"":[5,3],""total"":15}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:13.903Z","build-5-3","build","equalGroups","attention_cue_shown","0","","","","","","","","","","","","","","","","","","","","","","","","true","plusDotCueShown","","","true","{""attentionCueShown"":true,""cueType"":""plusDotCueShown"",""plusDotCueShown"":true,""trigger"":""entry""}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:13.903Z","build-5-3","build","equalGroups","feedback_shown","0","hint","1","array","","","","","","","","","","","","","","","","","","","","","","","","","","{""type"":""hint"",""feedbackType"":""hint"",""attemptNumber"":0,""scaffoldLevel"":1,""relatedField"":""array"",""message"":""Share a few dots into every row before adding more."",""timestamp"":""2026-09-21T17:12:13.903Z""}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:14.243Z","build-5-3","build","equalGroups","answer_changed_after_feedback","0","","1","array","","","","","","","","","","","","","","","","","","","","","","","","","","{""relatedField"":""array"",""previousFeedbackType"":""hint"",""scaffoldLevel"":1}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:14.244Z","build-5-3","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":0,""groups"":[1,0,0,0,0],""remaining"":14}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:14.518Z","build-5-3","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":0,""groups"":[2,0,0,0,0],""remaining"":13}"
